"lambda","phi","eta","start","end","type"
1.5,0.6,0.1,39953,40326,"death"
1.5,0.6,0.1,48444,48857,"conserved"
1.5,0.6,0.1,63675,63798,"conserved"
1.5,0.6,0.1,66512,66699,"death"
1.5,0.6,0.1,83272,83397,"death"
1.5,0.6,0.1,88638,88835,"conserved"
2,0.1,0.1,19883,20514,"death"
2,0.1,0.1,39953,40326,"conserved"
2,0.1,0.1,48444,48857,"conserved"
2,0.1,0.1,63675,63798,"conserved"
2,0.1,0.1,66512,66699,"death"
2,0.1,0.1,83272,83397,"conserved"
2,0.1,0.1,88638,88835,"conserved"
2,0.1,0.2,19883,20514,"death"
2,0.1,0.2,39953,40326,"conserved"
2,0.1,0.2,48444,48857,"conserved"
2,0.1,0.2,63675,63798,"conserved"
2,0.1,0.2,66512,66699,"death"
2,0.1,0.2,83272,83397,"conserved"
2,0.1,0.2,88638,88835,"conserved"
2,0.1,0.3,39953,40326,"death"
2,0.1,0.3,48444,48857,"conserved"
2,0.1,0.3,63675,63798,"conserved"
2,0.1,0.3,66512,66699,"death"
2,0.1,0.3,83272,83397,"conserved"
2,0.1,0.3,88638,88835,"conserved"
2,0.1,0.4,19883,20514,"death"
2,0.1,0.4,39953,40326,"death"
2,0.1,0.4,48444,48857,"conserved"
2,0.1,0.4,63675,63798,"conserved"
2,0.1,0.4,66512,66699,"death"
2,0.1,0.4,83272,83397,"conserved"
2,0.1,0.4,88638,88835,"conserved"
2,0.1,0.5,19883,20514,"death"
2,0.1,0.5,39953,40326,"death"
2,0.1,0.5,48444,48857,"conserved"
2,0.1,0.5,63675,63798,"conserved"
2,0.1,0.5,66512,66699,"death"
2,0.1,0.5,83272,83397,"conserved"
2,0.1,0.5,88638,88835,"conserved"
2,0.1,0.6,19883,20514,"death"
2,0.1,0.6,33663,34117,"death"
2,0.1,0.6,39953,40326,"death"
2,0.1,0.6,48444,48857,"conserved"
2,0.1,0.6,63675,63798,"conserved"
2,0.1,0.6,66512,66699,"death"
2,0.1,0.6,83272,83397,"conserved"
2,0.1,0.6,88638,88835,"conserved"
2,0.2,0.1,39953,40326,"death"
2,0.2,0.1,48444,48857,"conserved"
2,0.2,0.1,63675,63798,"conserved"
2,0.2,0.1,66512,66699,"death"
2,0.2,0.1,88638,88835,"conserved"
2,0.2,0.2,19883,20514,"death"
2,0.2,0.2,39953,40326,"death"
2,0.2,0.2,48444,48857,"conserved"
2,0.2,0.2,63675,63798,"conserved"
2,0.2,0.2,66512,66699,"death"
2,0.2,0.2,83272,83397,"conserved"
2,0.2,0.2,88638,88835,"conserved"
2,0.2,0.3,19883,20514,"death"
2,0.2,0.3,39953,40326,"death"
2,0.2,0.3,48444,48857,"conserved"
2,0.2,0.3,63675,63798,"conserved"
2,0.2,0.3,66512,66699,"death"
2,0.2,0.3,83272,83397,"conserved"
2,0.2,0.3,88638,88835,"conserved"
2,0.2,0.4,19883,20514,"death"
2,0.2,0.4,39953,40326,"death"
2,0.2,0.4,48444,48857,"conserved"
2,0.2,0.4,63675,63798,"conserved"
2,0.2,0.4,66512,66699,"death"
2,0.2,0.4,83272,83397,"conserved"
2,0.2,0.4,88638,88835,"conserved"
2,0.2,0.5,19883,20514,"death"
2,0.2,0.5,33663,34117,"death"
2,0.2,0.5,39953,40326,"death"
2,0.2,0.5,48444,48857,"conserved"
2,0.2,0.5,63675,63798,"conserved"
2,0.2,0.5,66512,66699,"death"
2,0.2,0.5,83272,83397,"conserved"
2,0.2,0.5,88638,88835,"conserved"
2,0.3,0.1,19883,20514,"death"
2,0.3,0.1,39953,40326,"death"
2,0.3,0.1,48444,48857,"conserved"
2,0.3,0.1,63675,63798,"conserved"
2,0.3,0.1,66512,66699,"death"
2,0.3,0.1,88638,88835,"conserved"
2,0.3,0.2,39953,40326,"death"
2,0.3,0.2,48444,48857,"conserved"
2,0.3,0.2,63675,63798,"conserved"
2,0.3,0.2,66512,66699,"death"
2,0.3,0.2,83272,83397,"conserved"
2,0.3,0.2,88638,88835,"conserved"
2,0.3,0.3,19883,20514,"death"
2,0.3,0.3,39953,40326,"death"
2,0.3,0.3,48444,48857,"conserved"
2,0.3,0.3,63675,63798,"conserved"
2,0.3,0.3,66512,66699,"death"
2,0.3,0.3,83272,83397,"conserved"
2,0.3,0.3,88638,88835,"conserved"
2,0.3,0.4,19883,20514,"death"
2,0.3,0.4,33663,34117,"death"
2,0.3,0.4,39953,40326,"death"
2,0.3,0.4,48444,48857,"conserved"
2,0.3,0.4,63675,63798,"conserved"
2,0.3,0.4,66512,66699,"death"
2,0.3,0.4,83272,83397,"conserved"
2,0.3,0.4,88638,88835,"conserved"
2,0.4,0.1,39953,40326,"death"
2,0.4,0.1,48444,48857,"conserved"
2,0.4,0.1,63675,63798,"conserved"
2,0.4,0.1,66512,66699,"death"
2,0.4,0.1,83272,83397,"conserved"
2,0.4,0.1,88638,88835,"conserved"
2,0.4,0.2,19883,20514,"death"
2,0.4,0.2,39953,40326,"death"
2,0.4,0.2,48444,48857,"conserved"
2,0.4,0.2,63675,63798,"conserved"
2,0.4,0.2,66512,66699,"death"
2,0.4,0.2,88638,88835,"conserved"
2,0.4,0.3,19883,20514,"death"
2,0.4,0.3,39953,40326,"death"
2,0.4,0.3,48444,48857,"conserved"
2,0.4,0.3,63675,63798,"conserved"
2,0.4,0.3,66512,66699,"death"
2,0.4,0.3,83272,83397,"conserved"
2,0.4,0.3,88638,88835,"conserved"
2,0.5,0.1,39953,40326,"death"
2,0.5,0.1,48444,48857,"conserved"
2,0.5,0.1,63675,63798,"conserved"
2,0.5,0.1,66512,66699,"death"
2,0.5,0.1,83272,83397,"conserved"
2,0.5,0.1,88638,88835,"conserved"
2,0.5,0.2,19883,20514,"death"
2,0.5,0.2,33663,34117,"death"
2,0.5,0.2,39953,40326,"death"
2,0.5,0.2,48444,48857,"conserved"
2,0.5,0.2,63675,63798,"conserved"
2,0.5,0.2,66512,66699,"death"
2,0.5,0.2,83272,83397,"conserved"
2,0.5,0.2,88638,88835,"conserved"
2,0.6,0.1,19883,20514,"death"
2,0.6,0.1,33663,34117,"death"
2,0.6,0.1,39953,40326,"death"
2,0.6,0.1,48444,48857,"conserved"
2,0.6,0.1,63675,63798,"conserved"
2,0.6,0.1,66512,66699,"death"
2,0.6,0.1,83272,83397,"death"
2,0.6,0.1,88638,88835,"conserved"
2.5,0.1,0.1,39953,40326,"conserved"
2.5,0.1,0.1,48444,48857,"conserved"
2.5,0.1,0.1,63675,63798,"conserved"
2.5,0.1,0.1,66512,66699,"death"
2.5,0.1,0.2,39953,40326,"conserved"
2.5,0.1,0.2,48444,48857,"conserved"
2.5,0.1,0.2,63675,63798,"conserved"
2.5,0.1,0.2,66512,66699,"death"
2.5,0.1,0.2,83272,83397,"conserved"
2.5,0.1,0.2,88638,88835,"conserved"
2.5,0.1,0.3,39953,40326,"death"
2.5,0.1,0.3,48444,48857,"conserved"
2.5,0.1,0.3,63675,63798,"conserved"
2.5,0.1,0.3,66512,66699,"death"
2.5,0.1,0.3,88638,88835,"conserved"
2.5,0.1,0.4,19883,20514,"death"
2.5,0.1,0.4,39953,40326,"death"
2.5,0.1,0.4,42385,43392,"acc"
2.5,0.1,0.4,48444,48857,"conserved"
2.5,0.1,0.4,63675,63798,"conserved"
2.5,0.1,0.4,66512,66699,"death"
2.5,0.1,0.4,83272,83397,"conserved"
2.5,0.1,0.4,88638,88835,"conserved"
2.5,0.1,0.5,19883,20514,"death"
2.5,0.1,0.5,39953,40326,"death"
2.5,0.1,0.5,42385,43392,"acc"
2.5,0.1,0.5,48444,48857,"conserved"
2.5,0.1,0.5,63675,63798,"conserved"
2.5,0.1,0.5,66512,66699,"death"
2.5,0.1,0.5,83272,83397,"conserved"
2.5,0.1,0.5,88638,88835,"conserved"
2.5,0.1,0.6,19883,20514,"death"
2.5,0.1,0.6,33663,34117,"death"
2.5,0.1,0.6,39953,40326,"death"
2.5,0.1,0.6,42385,43392,"acc"
2.5,0.1,0.6,46057,46272,"conserved"
2.5,0.1,0.6,48444,48857,"conserved"
2.5,0.1,0.6,57668,58108,"acc"
2.5,0.1,0.6,63675,63798,"conserved"
2.5,0.1,0.6,66512,66699,"death"
2.5,0.1,0.6,83272,83397,"conserved"
2.5,0.1,0.6,88638,88835,"conserved"
2.5,0.1,0.6,90869,91646,"acc"
2.5,0.2,0.1,19883,20514,"death"
2.5,0.2,0.1,39953,40326,"death"
2.5,0.2,0.1,48444,48857,"conserved"
2.5,0.2,0.1,63675,63798,"conserved"
2.5,0.2,0.1,66512,66699,"death"
2.5,0.2,0.1,83272,83397,"conserved"
2.5,0.2,0.1,88638,88835,"conserved"
2.5,0.2,0.2,39953,40326,"death"
2.5,0.2,0.2,48444,48857,"conserved"
2.5,0.2,0.2,63675,63798,"conserved"
2.5,0.2,0.2,66512,66699,"death"
2.5,0.2,0.2,83272,83397,"conserved"
2.5,0.2,0.2,88638,88835,"conserved"
2.5,0.2,0.3,19883,20514,"death"
2.5,0.2,0.3,39953,40326,"death"
2.5,0.2,0.3,42385,43392,"acc"
2.5,0.2,0.3,48444,48857,"conserved"
2.5,0.2,0.3,63675,63798,"conserved"
2.5,0.2,0.3,66512,66699,"death"
2.5,0.2,0.3,83272,83397,"conserved"
2.5,0.2,0.3,88638,88835,"conserved"
2.5,0.2,0.4,19883,20514,"death"
2.5,0.2,0.4,39953,40326,"death"
2.5,0.2,0.4,42385,43392,"acc"
2.5,0.2,0.4,48444,48857,"conserved"
2.5,0.2,0.4,63675,63798,"conserved"
2.5,0.2,0.4,66512,66699,"death"
2.5,0.2,0.4,83272,83397,"conserved"
2.5,0.2,0.4,88638,88835,"conserved"
2.5,0.2,0.5,19883,20514,"death"
2.5,0.2,0.5,33663,34117,"death"
2.5,0.2,0.5,39953,40326,"death"
2.5,0.2,0.5,42850,43392,"acc"
2.5,0.2,0.5,48444,48857,"conserved"
2.5,0.2,0.5,63675,63798,"conserved"
2.5,0.2,0.5,66512,66699,"death"
2.5,0.2,0.5,83272,83397,"conserved"
2.5,0.2,0.5,88638,88835,"conserved"
2.5,0.3,0.1,39953,40326,"death"
2.5,0.3,0.1,48444,48857,"conserved"
2.5,0.3,0.1,63675,63798,"conserved"
2.5,0.3,0.1,66512,66699,"death"
2.5,0.3,0.1,88638,88835,"conserved"
2.5,0.3,0.2,39953,40326,"death"
2.5,0.3,0.2,48444,48857,"conserved"
2.5,0.3,0.2,63675,63798,"conserved"
2.5,0.3,0.2,66512,66699,"death"
2.5,0.3,0.2,88638,88835,"conserved"
2.5,0.3,0.3,19883,20514,"death"
2.5,0.3,0.3,39953,40326,"death"
2.5,0.3,0.3,42385,43392,"acc"
2.5,0.3,0.3,48444,48857,"conserved"
2.5,0.3,0.3,63675,63798,"conserved"
2.5,0.3,0.3,66512,66699,"death"
2.5,0.3,0.3,83272,83397,"conserved"
2.5,0.3,0.3,88638,88835,"conserved"
2.5,0.3,0.4,19883,20514,"death"
2.5,0.3,0.4,33663,34117,"death"
2.5,0.3,0.4,39953,40326,"death"
2.5,0.3,0.4,42850,43392,"acc"
2.5,0.3,0.4,48444,48857,"conserved"
2.5,0.3,0.4,63675,63798,"conserved"
2.5,0.3,0.4,66512,66699,"death"
2.5,0.3,0.4,83272,83397,"conserved"
2.5,0.3,0.4,88638,88835,"conserved"
2.5,0.4,0.1,19883,20514,"death"
2.5,0.4,0.1,39953,40326,"death"
2.5,0.4,0.1,48444,48857,"conserved"
2.5,0.4,0.1,63675,63798,"conserved"
2.5,0.4,0.1,66512,66699,"death"
2.5,0.4,0.1,88638,88835,"conserved"
2.5,0.4,0.2,19883,20514,"death"
2.5,0.4,0.2,39953,40326,"death"
2.5,0.4,0.2,42385,43392,"acc"
2.5,0.4,0.2,48444,48857,"conserved"
2.5,0.4,0.2,63675,63798,"conserved"
2.5,0.4,0.2,66512,66699,"death"
2.5,0.4,0.2,83272,83397,"conserved"
2.5,0.4,0.2,88638,88835,"conserved"
2.5,0.4,0.3,19883,20514,"death"
2.5,0.4,0.3,33663,34117,"death"
2.5,0.4,0.3,39953,40326,"death"
2.5,0.4,0.3,42385,43392,"acc"
2.5,0.4,0.3,48444,48857,"conserved"
2.5,0.4,0.3,63675,63798,"conserved"
2.5,0.4,0.3,66512,66699,"death"
2.5,0.4,0.3,83272,83397,"conserved"
2.5,0.4,0.3,88638,88835,"conserved"
2.5,0.5,0.1,19883,20514,"death"
2.5,0.5,0.1,39953,40326,"death"
2.5,0.5,0.1,48444,48857,"conserved"
2.5,0.5,0.1,63675,63798,"conserved"
2.5,0.5,0.1,66512,66699,"death"
2.5,0.5,0.1,83272,83397,"conserved"
2.5,0.5,0.1,88638,88835,"conserved"
2.5,0.5,0.2,19883,20514,"death"
2.5,0.5,0.2,33663,34117,"death"
2.5,0.5,0.2,39953,40326,"death"
2.5,0.5,0.2,48444,48857,"conserved"
2.5,0.5,0.2,63675,63798,"conserved"
2.5,0.5,0.2,66512,66699,"death"
2.5,0.5,0.2,83272,83397,"conserved"
2.5,0.5,0.2,88638,88835,"conserved"
2.5,0.6,0.1,19883,20514,"death"
2.5,0.6,0.1,33663,34117,"death"
2.5,0.6,0.1,39953,40326,"death"
2.5,0.6,0.1,42385,43392,"acc"
2.5,0.6,0.1,48444,48857,"conserved"
2.5,0.6,0.1,63675,63798,"conserved"
2.5,0.6,0.1,66512,66699,"death"
2.5,0.6,0.1,83272,83397,"death"
2.5,0.6,0.1,88638,88835,"conserved"
3,0.1,0.1,39953,40326,"conserved"
3,0.1,0.1,48444,48857,"conserved"
3,0.1,0.1,63675,63798,"conserved"
3,0.1,0.1,66512,66699,"death"
3,0.1,0.1,83272,83397,"conserved"
3,0.1,0.1,88638,88835,"conserved"
3,0.1,0.2,39953,40326,"conserved"
3,0.1,0.2,42850,43392,"acc"
3,0.1,0.2,48444,48857,"conserved"
3,0.1,0.2,63675,63798,"conserved"
3,0.1,0.2,66512,66699,"death"
3,0.1,0.2,83272,83397,"conserved"
3,0.1,0.2,88638,88835,"conserved"
3,0.1,0.3,19883,20514,"death"
3,0.1,0.3,39953,40326,"death"
3,0.1,0.3,42850,43392,"acc"
3,0.1,0.3,48444,48857,"conserved"
3,0.1,0.3,63675,63798,"conserved"
3,0.1,0.3,66512,66699,"death"
3,0.1,0.3,83272,83397,"conserved"
3,0.1,0.3,88638,88835,"conserved"
3,0.1,0.4,19883,20514,"death"
3,0.1,0.4,39953,40326,"death"
3,0.1,0.4,42850,43392,"acc"
3,0.1,0.4,48444,48857,"conserved"
3,0.1,0.4,63675,63798,"conserved"
3,0.1,0.4,66512,66699,"death"
3,0.1,0.4,83272,83397,"conserved"
3,0.1,0.4,88638,88835,"conserved"
3,0.1,0.5,19883,20514,"death"
3,0.1,0.5,39953,40326,"death"
3,0.1,0.5,42850,43392,"acc"
3,0.1,0.5,48444,48857,"conserved"
3,0.1,0.5,63675,63798,"conserved"
3,0.1,0.5,66512,66699,"death"
3,0.1,0.5,83272,83397,"conserved"
3,0.1,0.5,88638,88835,"conserved"
3,0.1,0.6,2,2,"conserved"
3,0.1,0.6,4,4,"conserved"
3,0.1,0.6,6,6,"acc"
3,0.1,0.6,8,8,"acc"
3,0.1,0.6,10,10,"acc"
3,0.1,0.6,12,12,"acc"
3,0.1,0.6,14,14,"conserved"
3,0.1,0.6,16,16,"acc"
3,0.1,0.6,18,18,"conserved"
3,0.1,0.6,20,20,"conserved"
3,0.1,0.6,22,22,"conserved"
3,0.1,0.6,24,24,"conserved"
3,0.1,0.6,26,26,"conserved"
3,0.1,0.6,28,28,"conserved"
3,0.1,0.6,30,30,"conserved"
3,0.1,0.6,32,32,"conserved"
3,0.1,0.6,34,34,"conserved"
3,0.1,0.6,36,36,"conserved"
3,0.1,0.6,38,38,"acc"
3,0.1,0.6,40,40,"acc"
3,0.1,0.6,42,42,"conserved"
3,0.1,0.6,44,44,"acc"
3,0.1,0.6,46,46,"conserved"
3,0.1,0.6,48,48,"conserved"
3,0.1,0.6,50,50,"acc"
3,0.1,0.6,52,52,"conserved"
3,0.1,0.6,54,54,"conserved"
3,0.1,0.6,55,55,"acc"
3,0.1,0.6,57,57,"conserved"
3,0.1,0.6,59,59,"conserved"
3,0.1,0.6,61,61,"conserved"
3,0.1,0.6,63,63,"acc"
3,0.1,0.6,65,65,"acc"
3,0.1,0.6,67,67,"conserved"
3,0.1,0.6,69,69,"conserved"
3,0.1,0.6,71,71,"conserved"
3,0.1,0.6,73,73,"conserved"
3,0.1,0.6,75,75,"conserved"
3,0.1,0.6,77,77,"conserved"
3,0.1,0.6,79,79,"conserved"
3,0.1,0.6,81,81,"acc"
3,0.1,0.6,83,83,"conserved"
3,0.1,0.6,85,85,"conserved"
3,0.1,0.6,87,87,"acc"
3,0.1,0.6,89,89,"conserved"
3,0.1,0.6,91,91,"conserved"
3,0.1,0.6,93,93,"conserved"
3,0.1,0.6,95,95,"conserved"
3,0.1,0.6,97,97,"acc"
3,0.1,0.6,99,99,"conserved"
3,0.1,0.6,101,101,"conserved"
3,0.1,0.6,103,103,"conserved"
3,0.1,0.6,105,105,"conserved"
3,0.1,0.6,107,107,"acc"
3,0.1,0.6,109,109,"conserved"
3,0.1,0.6,111,111,"conserved"
3,0.1,0.6,113,113,"conserved"
3,0.1,0.6,115,115,"conserved"
3,0.1,0.6,117,117,"conserved"
3,0.1,0.6,119,119,"conserved"
3,0.1,0.6,122,122,"conserved"
3,0.1,0.6,124,124,"conserved"
3,0.1,0.6,126,126,"conserved"
3,0.1,0.6,128,128,"conserved"
3,0.1,0.6,130,130,"conserved"
3,0.1,0.6,132,132,"conserved"
3,0.1,0.6,135,135,"conserved"
3,0.1,0.6,137,137,"acc"
3,0.1,0.6,139,139,"acc"
3,0.1,0.6,141,141,"conserved"
3,0.1,0.6,143,143,"conserved"
3,0.1,0.6,145,145,"conserved"
3,0.1,0.6,147,147,"conserved"
3,0.1,0.6,149,149,"conserved"
3,0.1,0.6,151,151,"conserved"
3,0.1,0.6,152,152,"acc"
3,0.1,0.6,154,154,"conserved"
3,0.1,0.6,156,156,"conserved"
3,0.1,0.6,158,158,"conserved"
3,0.1,0.6,160,160,"acc"
3,0.1,0.6,162,162,"acc"
3,0.1,0.6,164,164,"conserved"
3,0.1,0.6,166,166,"conserved"
3,0.1,0.6,168,168,"acc"
3,0.1,0.6,170,170,"conserved"
3,0.1,0.6,172,172,"conserved"
3,0.1,0.6,174,174,"conserved"
3,0.1,0.6,176,176,"conserved"
3,0.1,0.6,178,178,"conserved"
3,0.1,0.6,180,180,"conserved"
3,0.1,0.6,182,182,"acc"
3,0.1,0.6,184,184,"conserved"
3,0.1,0.6,186,186,"conserved"
3,0.1,0.6,188,188,"conserved"
3,0.1,0.6,190,190,"conserved"
3,0.1,0.6,192,192,"conserved"
3,0.1,0.6,194,194,"conserved"
3,0.1,0.6,196,196,"acc"
3,0.1,0.6,198,198,"acc"
3,0.1,0.6,200,200,"conserved"
3,0.1,0.6,202,202,"acc"
3,0.1,0.6,204,204,"acc"
3,0.1,0.6,206,206,"conserved"
3,0.1,0.6,208,208,"conserved"
3,0.1,0.6,210,210,"acc"
3,0.1,0.6,212,212,"conserved"
3,0.1,0.6,214,214,"conserved"
3,0.1,0.6,216,216,"acc"
3,0.1,0.6,218,218,"conserved"
3,0.1,0.6,220,220,"conserved"
3,0.1,0.6,222,222,"conserved"
3,0.1,0.6,224,224,"conserved"
3,0.1,0.6,226,226,"acc"
3,0.1,0.6,228,228,"conserved"
3,0.1,0.6,230,230,"conserved"
3,0.1,0.6,232,232,"acc"
3,0.1,0.6,234,234,"acc"
3,0.1,0.6,236,236,"conserved"
3,0.1,0.6,238,238,"conserved"
3,0.1,0.6,240,240,"conserved"
3,0.1,0.6,242,242,"conserved"
3,0.1,0.6,244,244,"conserved"
3,0.1,0.6,246,246,"conserved"
3,0.1,0.6,248,248,"conserved"
3,0.1,0.6,250,250,"conserved"
3,0.1,0.6,252,252,"conserved"
3,0.1,0.6,254,254,"conserved"
3,0.1,0.6,256,256,"acc"
3,0.1,0.6,258,258,"conserved"
3,0.1,0.6,260,260,"conserved"
3,0.1,0.6,262,262,"acc"
3,0.1,0.6,264,264,"acc"
3,0.1,0.6,266,266,"conserved"
3,0.1,0.6,268,268,"conserved"
3,0.1,0.6,270,270,"conserved"
3,0.1,0.6,272,272,"conserved"
3,0.1,0.6,274,274,"acc"
3,0.1,0.6,276,276,"conserved"
3,0.1,0.6,278,278,"conserved"
3,0.1,0.6,280,280,"conserved"
3,0.1,0.6,282,282,"conserved"
3,0.1,0.6,284,284,"conserved"
3,0.1,0.6,286,286,"conserved"
3,0.1,0.6,288,288,"conserved"
3,0.1,0.6,290,290,"conserved"
3,0.1,0.6,292,292,"conserved"
3,0.1,0.6,294,294,"conserved"
3,0.1,0.6,296,296,"conserved"
3,0.1,0.6,298,298,"acc"
3,0.1,0.6,300,300,"conserved"
3,0.1,0.6,302,302,"acc"
3,0.1,0.6,304,304,"conserved"
3,0.1,0.6,307,307,"conserved"
3,0.1,0.6,310,310,"conserved"
3,0.1,0.6,312,312,"acc"
3,0.1,0.6,314,314,"conserved"
3,0.1,0.6,316,316,"conserved"
3,0.1,0.6,318,318,"conserved"
3,0.1,0.6,320,320,"conserved"
3,0.1,0.6,322,322,"conserved"
3,0.1,0.6,324,324,"acc"
3,0.1,0.6,326,326,"conserved"
